Giocatore,Ruolo,Squadra,Gol/90,Assist/90,Gol+Assist/90,Gol/90 attesi,Assist/90 attesi,Gol+Assist/90 attesi,Occasioni create,Passaggi chiave,Pressioni,Progressioni palla (Carry/90),Progressioni palla (Pass/90),Progressioni palla (Ricezione/90),xG senza rigori,Gol senza rigori/90,Percentuale rigori,Differenza Gol fatti - attesi,Differenza Assist fatti - attesi,Cartellini/90,Espulsioni/90,Ammonizioni/90,Indice Sintetico,Punteggio (0-100),Percentile nel Ruolo,Tier
Grassi,C,Cremonese,0.04,0.0,0.04,0.04,0.03,0.07,0.96,0.71,78.68,0.74,3.02,0.98,1.0,0.04,,0.0,-0.8,0.33,0.0,0.33,0.96,32.0,0.37,C
Forson,C,,0.0,0.0,0.0,0.08,0.2,0.28,0.11,0.03,24.78,5.65,4.04,7.26,0.0,0.0,,-0.2,-0.5,0.0,0.0,0.0,0.98,32.7,0.36,C
Loftus-Cheek,C,Milan,0.0,0.0,0.0,0.06,0.16,0.23,0.53,0.26,54.58,2.34,4.43,2.78,0.0,0.0,,-0.7,-1.9,0.26,0.0,0.26,0.98,32.7,0.36,C
Berisha,C,Lecce,0.0,0.13,0.13,0.09,0.08,0.16,0.41,0.18,42.12,1.63,5.28,2.14,0.0,0.0,,-0.7,0.4,0.63,0.0,0.63,1.0,33.3,0.34,C
Gilmour,C,Napoli,0.0,0.08,0.08,0.04,0.14,0.18,0.5,0.34,45.27,0.84,5.12,1.38,0.0,0.0,,-0.5,-0.8,0.0,0.0,0.0,1.0,33.3,0.34,C
Rafia,C,Lecce,0.0,0.0,0.0,0.04,0.12,0.16,0.78,0.37,58.78,1.11,4.34,2.72,0.0,0.0,,-0.5,-1.4,0.34,0.0,0.34,1.0,33.3,0.34,C
Sulemana,C,Atalanta,0.64,0.0,0.64,0.19,0.0,0.19,0.33,0.08,31.44,0.64,3.82,0.64,3.33,0.64,,1.4,0.0,0.32,0.0,0.32,1.0,33.3,0.34,C
Suslov,C,Verona,0.0,0.04,0.04,0.07,0.08,0.15,0.87,0.71,67.1,1.69,3.55,3.33,0.0,0.0,,-1.6,-0.9,0.35,0.04,0.3,1.0,33.3,0.34,C
Maleh,C,Lecce,0.0,0.06,0.06,0.05,0.05,0.11,0.77,0.45,68.64,0.6,4.29,2.21,0.0,0.0,,-0.9,0.1,0.36,0.06,0.3,1.04,34.7,0.32,C
Aebischer,C,Pisa,0.0,0.0,0.0,0.05,0.05,0.1,0.64,0.24,51.71,0.99,4.1,2.11,0.0,0.0,,-0.4,-0.4,0.25,0.0,0.25,1.06,35.4,0.31,C
Karlström,C,,0.0,0.08,0.08,0.02,0.03,0.05,0.97,0.95,86.11,0.65,3.81,1.3,0.0,0.0,,-0.7,1.9,0.25,0.0,0.25,1.06,35.4,0.31,C
Martins,C,,0.0,0.49,0.49,0.0,0.2,0.2,0.11,0.03,20.33,1.48,2.95,4.92,,0.0,,0.0,0.6,0.49,0.0,0.49,1.06,35.4,0.31,C
Melegoni,C,,0.0,1.01,1.01,0.0,0.51,0.51,0.33,0.03,29.67,0.0,1.01,2.02,,0.0,,0.0,0.5,0.0,0.0,0.0,1.06,35.4,0.31,C
Le Fée,C,,0.0,0.0,0.0,0.06,0.03,0.08,0.67,0.11,53.0,4.25,7.92,0.85,0.0,0.0,,-0.2,-0.1,0.28,0.0,0.28,1.08,36.1,0.29,C
Amrabat,C,,0.0,0.0,0.0,0.0,0.05,0.05,1.0,0.05,90.0,1.0,7.0,0.5,,0.0,,0.0,-0.1,0.0,0.0,0.0,1.1,36.7,0.29,C
Solbakken,C,,0.0,0.0,0.0,0.09,0.05,0.14,0.38,0.21,36.19,2.13,2.37,3.79,0.0,0.0,,-0.8,-0.4,0.24,0.0,0.24,1.12,37.4,0.28,C
Belahyane,C,Lazio,0.0,0.1,0.1,0.01,0.05,0.06,0.64,0.47,66.29,1.26,4.02,0.68,0.0,0.0,,-0.2,1.0,0.39,0.1,0.29,1.14,38.1,0.28,C
Bohinen,C,,0.0,0.0,0.0,0.05,0.05,0.11,0.33,0.03,55.33,3.25,2.71,1.08,0.0,0.0,,-0.1,-0.1,0.0,0.0,0.0,1.16,38.8,0.27,C
Makoumbou,C,,0.0,0.13,0.13,0.01,0.04,0.05,0.82,0.71,65.15,0.46,3.85,0.59,0.0,0.0,,-0.3,2.1,0.21,0.04,0.17,1.18,39.5,0.26,C
Pierret,C,Lecce,0.0,0.0,0.0,0.01,0.02,0.03,0.7,0.55,57.43,0.68,4.28,0.68,0.0,0.0,,-0.2,-0.4,0.1,0.0,0.1,1.2,40.1,0.26,C
Tameze,C,Torino,0.0,0.0,0.0,0.06,0.11,0.17,0.45,0.24,32.45,2.22,3.19,2.91,0.0,0.0,,-0.4,-0.8,0.42,0.0,0.42,1.2,40.1,0.26,C
Bennacer,C,,0.0,0.0,0.0,0.03,0.03,0.06,0.67,0.11,50.0,2.4,6.9,3.6,0.0,0.0,,-0.1,-0.1,0.6,0.0,0.6,1.22,40.8,0.24,C
Billing,C,,0.46,0.0,0.46,0.69,0.05,0.73,0.1,0.03,19.7,0.46,2.28,3.65,0.67,0.46,,-0.5,-0.1,0.46,0.0,0.46,1.22,40.8,0.24,C
Ndour,C,Fiorentina,0.0,0.0,0.0,0.02,0.0,0.02,0.44,0.11,45.11,2.66,3.77,5.76,0.0,0.0,,-0.1,0.0,0.22,0.0,0.22,1.22,40.8,0.24,C
